,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
1622,6059074004,32.6,3.39,76536.0,28813.0,0.3988,40.20000076,1828.0,3.82912793271359,19.42899517982944,22.376714868372265
1623,6059074005,32.2,4.82,86250.0,21119.0,0.3934,30.89999962,1409.0,7.377264373851404,33.453960595094486,16.184157619622034
1624,6059074006,32.9,2.91,62824.0,24532.0,0.3144,34.5,1679.0,1.6895761741122566,20.801874511845874,26.1910960687321
1625,6059074102,36.4,4.84,96711.0,23314.0,0.3318,36.09999847,1755.0,3.483386923901393,45.76160383525823,15.232076705164523
1626,6059074103,30.4,5.27,84939.0,19286.0,0.3279,51.0,2068.0,3.6995092487731216,35.04218040233614,10.415314730694353
1627,6059074106,32.6,3.57,72985.0,25442.0,0.3817,29.5,1768.0,4.063701263042285,27.098604871127925,23.386143296287536
1628,6059074107,33.7,2.59,74034.0,38648.0,0.3994,28.10000038,1901.0,1.566642564473367,10.359801488833748,43.610421836228284
1629,6059074108,33.5,5.41,84665.0,21366.0,0.36,36.29999924,1835.0,2.7036770007209805,47.044410413476264,9.402756508422664
1630,6059074109,31.7,4.86,72969.0,18561.0,0.3784,36.0,1603.0,2.4807056229327453,52.54824344383968,11.825828797624938
1631,6059074110,42.1,3.99,92750.0,28259.0,0.358,51.0,2583.0,2.5906735751295336,20.664739884393065,23.88005780346821
1632,6059074111,36.5,4.08,94132.0,27486.0,0.3527,28.39999962,1735.0,3.0070163715335783,26.6147859922179,21.06355382619974
1633,6059074200,32.0,5.45,88825.0,19959.0,0.3565,27.60000038,1684.0,5.355832721936904,49.30733709594664,5.438686505900462
1634,6059074601,33.2,4.54,68021.0,19565.0,0.3421,32.29999924,1458.0,6.654947262682069,53.059093756525364,8.373355606598455
1635,6059074602,29.4,5.0,63990.0,17043.0,0.376,37.59999847,1507.0,2.567829457364341,51.26608551266085,7.326691573266916
1636,6059074701,32.2,5.68,76389.0,16528.0,0.3537,34.40000153,1544.0,6.31424375917768,57.64064629160989,6.638115631691649
1637,6059074702,29.7,5.49,74056.0,18250.0,0.3704,34.0,1381.0,6.424242424242424,47.14981380693211,9.911200229160698
1638,6059074801,31.4,5.79,74219.0,18043.0,0.3678,32.70000076,1583.0,5.9048834982444935,50.653950953678475,8.392370572207085
1639,6059074802,26.9,5.53,55500.0,14652.0,0.385,31.79999924,1478.0,3.8095238095238098,49.37965260545906,11.11111111111111
1640,6059074803,37.0,4.81,78140.0,21286.0,0.3674,33.70000076,1477.0,8.943554538520214,45.49520766773163,11.08626198083067
1641,6059074805,25.1,5.37,49619.0,13186.0,0.3949,43.79999924,1713.0,4.342046964997785,55.48459804658151,5.972952667167543
1642,6059074806,31.1,5.73,59554.0,14862.0,0.3856,42.20000076,1411.0,7.057366900536525,56.877444589309,7.138200782268579
1643,6059074901,30.4,5.2,50658.0,13530.0,0.4081,42.09999847,1387.0,8.755760368663594,63.61441627866874,7.811691670977755
1644,6059074902,30.0,5.08,58913.0,14365.0,0.3355,31.60000038,1438.0,6.798316607316283,66.52470187393527,5.337876206700738
1645,6059075002,31.3,3.6,38542.0,15743.0,0.4816,31.5,1261.0,5.443907402696515,53.76385173863202,12.170424149789834
1646,6059075003,23.8,4.46,39793.0,11283.0,0.342,41.79999924,1288.0,9.717777131219087,57.349665924276174,5.679287305122494
1647,6059075004,26.1,3.87,44276.0,13951.0,0.3741,33.79999924,1217.0,5.673758865248227,50.40922619047619,3.943452380952381
1648,6059075100,33.0,3.77,59800.0,19686.0,0.4294,32.0,1373.0,4.376051935561433,36.75163874726876,11.959213401310997
1649,6059075201,31.7,5.37,60250.0,16415.0,0.3671,34.29999924,1546.0,9.29128518141743,54.436130411544625,9.005879208979156
1650,6059075202,32.9,4.76,68148.0,18255.0,0.3771,37.5,1401.0,7.979572294924991,42.80078895463511,6.537052690898845
1651,6059089001,40.5,4.34,64757.0,20415.0,0.4094,37.29999924,1773.0,7.090062961949083,39.43262411347518,13.31306990881459
1652,6059089004,36.2,3.78,51522.0,20175.0,0.47,46.90000153,1578.0,4.075691411935954,37.38708966732761,18.043621943159284
1653,6059089104,29.6,4.58,58173.0,16859.0,0.4175,31.79999924,1280.0,6.956819739547636,41.90871369294606,11.037344398340249
1654,6059089105,25.4,5.66,62042.0,15274.0,0.338,36.70000076,1677.0,7.541079812206573,49.221624681573736,6.085479762241721
1655,6059099202,34.4,4.23,59572.0,20129.0,0.4258,51.0,1714.0,5.892700087950748,31.590068674062334,17.76721253741856
1656,6059099203,42.9,4.19,79671.0,23110.0,0.3806,31.60000038,1597.0,5.624187256176853,25.913694407749887,16.820783795684722
1657,6059099226,46.1,3.47,117996.0,41765.0,0.3915,35.90000153,2633.0,5.806451612903226,14.987628137150939,44.60940261576528
1658,6059099227,36.5,3.11,82143.0,32757.0,0.4082,33.0,1943.0,4.530848329048843,16.966516741629185,37.331334332833585
1659,6059099229,44.6,2.47,74396.0,42688.0,0.5009,35.59999847,2050.0,0.8019740900678594,14.051870748299319,38.47789115646258
